Part Number,QoH,Part Description,Designator,Quantity,Comment
,,,C1,1,100u
,,,"C2, C4, C5,C8, C12,C14",6,100n
,,,C3,1,10u
,,,C6,1,220u
,,,C7,1,50n
,,,C9,1,47u
,,,C10,1,10n
,,,"C11,C15",2,15u
,,,C13,1,2.7u
900111-0020,7,CAP .0039UF 80V AXIAL,C16,1,39u
,,,C17,1,1u
900120-0003,"7,787",DIODE 1N4148B,D1,1,1N4148
,,,J1,1,9V BATTERY IN
,,,J2,1,ELECTRODES
,,,LS1,1,speaker
,,,"R1,R7",2,47k
,,,R2,1,100
,,,"R3,R4,R6,R18",4,220k
,,,"R5, R11, R13",3,1M
,,,R8,1,10k
900249-1003,"4,350",RES 1/4 W 1% 100K OHM   METAL FILM,"R9, R14,R20, R16, R19",5,100k
,,,R10,1,10
,,,"R12,R22",2,10M 1% MATCH
,,,"R15,R21",2,470k 1%
,,,R17,1,6.8k
,,,R23,1,3.3M
900106-0095,270,IC LM358N DUAL OP AMP,U1,1,LM358N
900106-0099,222,IC LM324 QUAD OP AMP,U2,1,LM324
900106-0210,242,IC LM386 LOW VOLTAGE,U3,1,LM386
